u_polar: -11703.433738

pos: -2.942287,2.491593,-14.940962 ef_static: 28.222014,-3.405764,-22.078381 mu: -0.000000,-0.000000,0.000000
pos: -2.288853,1.895008,-15.578353 ef_static: 3.667101,-1.897110,-5.685456 mu: 8.544373,-12.136440,-12.265364
pos: -1.592787,1.260188,-16.258900 ef_static: -2.133625,-1.138528,-1.193584 mu: 1.949159,-4.234770,-3.976961
pos: -1.634424,1.299417,-16.217748 ef_static: -2.319407,-0.996333,-1.078075 mu: 0.000000,-0.000000,-0.000000
pos: 2.516662,-0.887275,-13.629919 ef_static: -3.722366,6.895773,5.991322 mu: -4.167845,12.156328,18.945705
pos: 7.856000,1.331000,-19.021000 ef_static: -0.296660,0.020105,0.952720 mu: -0.861376,-0.200235,1.511306
pos: 7.665000,-1.416000,-15.738000 ef_static: -0.977506,-0.259908,0.196159 mu: -0.275776,-0.226448,0.237081
pos: 3.049501,-1.694507,-14.274379 ef_static: -26.980527,28.496128,-2.821431 mu: -24.021486,25.628736,-1.493214
pos: 3.014284,-1.644959,-14.234873 ef_static: -25.037678,27.322668,-0.758016 mu: 0.000000,-0.000000,0.000000
pos: 10.450000,1.772000,-19.021000 ef_static: -2.464700,2.764861,-0.877695 mu: -5.290232,5.716436,-1.173462
pos: 9.481000,-0.236000,-17.250000 ef_static: -0.215644,-1.179924,0.399218 mu: -0.850482,-2.720759,1.808758
pos: 9.629000,-1.287000,-16.220000 ef_static: 0.638024,-0.691195,-0.295114 mu: 1.655341,-2.308332,2.073595
pos: 8.533000,-1.741000,-15.527000 ef_static: 0.031451,0.121564,-0.282693 mu: 0.150564,-0.120593,0.261798
pos: 10.868000,-1.834000,-15.944000 ef_static: 2.025691,-1.169270,-2.282100 mu: 3.996085,-0.530899,-2.904189
pos: 10.502000,0.363000,-17.647000 ef_static: -3.042488,-2.459824,2.063150 mu: -3.325463,-1.564347,1.248274
pos: 8.291000,0.000000,-17.643000 ef_static: -0.245211,-0.385427,0.182690 mu: 0.259415,-0.260450,0.254666
